brand,model,type,movement,case_diameter,strap_material,price,style,water_resistance,features
Casio,Vintage A168WA,Digital,Quartz,38.6,Stainless Steel,2495,Casual,30,"LED Light,Stopwatch"
Casio,G-Shock GA-700,Analog-Digital,Quartz,57.5,Resin,7995,Sport,200,"Super Illuminator,Front Button"
Casio,Pro Trek PRG-340,Digital,Tough Solar,51.7,Resin,16995,Sport,100,"Triple Sensor,Eco-Friendly Materials"
Casio,Edifice EFR-564,Chronograph,Quartz,49.2,Stainless Steel,9495,Casual,100,"Tachymeter,Date Display"
Casio,G-Shock GST-B100,Analog,Tough Solar,58.1,Stainless Steel,24995,Luxury,200,"Bluetooth,Tough Solar,Carbon Dial"
Casio,Vintage F-91W-1Q,Digital,Quartz,38.2,Resin,1295,Minimalist,30,"Micro Light,Stopwatch,Alarm"
Casio,Edifice EFR-557,Chronograph,Quartz,49,Stainless Steel,8995,Sport,100,"Date Display,Mineral Glass"
Casio,Vintage A171WE,Digital,Quartz,36.6,Stainless Steel,2795,Minimalist,30,"Round Case,LED Light"
Casio,G-Shock GBD-200,Digital,Quartz,49.4,Resin,9995,Sport,200,"Bluetooth,Training Functions"
Casio,Pro Trek PRW-50Y,Analog-Digital,Tough Solar,50.5,Resin,39995,Sport,100,"Triple Sensor,Radio Controlled"
Casio,Edifice EFV-C110,Chronograph,Quartz,51,Stainless Steel,11495,Sport,100,"Telememo,Date Display"
Casio,Vintage B650WD,Digital,Quartz,43.1,Stainless Steel,3995,Casual,50,"LED Backlight,Stopwatch,Alarm"
Timex,Weekender Chronograph,Chronograph,Quartz,40,Leather,6995,Casual,30,"Indiglo Light,Chronograph"
Timex,Expedition Scout Solar,Analog,Solar,40,Leather,7495,Sport,50,"Solar Powered,Indiglo"
Timex,Q Timex Reissue,Analog,Quartz,38,Stainless Steel,15995,Vintage,50,"Integrated Bracelet,Day-Date"
Timex,Easy Reader,Analog,Quartz,35,Leather,3495,Casual,30,"Indiglo Light,Easy-to-Read Dial"
Timex,Waterbury Legacy,Analog,Quartz,41,Stainless Steel,8495,Dress,50,"Sapphire Crystal,Luminous Hands"
Timex,Marlin Hand-Wound,Analog,Mechanical,34,Leather,14995,Dress,30,"Hand-Wound Movement,Vintage Design"
Timex,Expedition Gallatin Solar,Analog,Solar,45,Resin,7995,Sport,50,"Solar Powered,Outdoor Compass"
Timex,Ironman Transit,Digital,Quartz,33,Resin,5995,Sport,100,"10 Lap Memory,Stopwatch,Alarm"
Timex,T80 Digital,Digital,Quartz,34,Stainless Steel,5995,Retro,30,"Indiglo Light,Stopwatch"
Timex,Command Urban,Digital,Quartz,47,Resin,8995,Sport,100,"Shock Resistant,Vibration Alarm"
Timex,Fairfield,Analog,Quartz,41,Leather,5995,Minimalist,30,"Minimalist Dial,Indiglo"
Timex,Waterbury Classic,Analog,Quartz,40,Leather,6495,Dress,50,"Date Display,Luminous Hands"
Timex,Expedition Shock XL,Digital,Quartz,50,Resin,8495,Sport,200,"Shock Resistant,Indiglo"
Timex,Marlin Automatic,Analog,Automatic,40,Leather,14995,Dress,30,"Vintage Design,Domed Acrylic"
Timex,Navi XL,Analog,Automatic,41,Fabric,16995,Sport,100,"Automatic Movement,Rotating Bezel"
Timex,M79 Automatic,Analog,Automatic,40,Stainless Steel,19995,Vintage,50,"Day-Date,Exhibition Caseback"
Timex,Ironman T-Series,Digital,Quartz,40,Resin,4995,Sport,100,"Indiglo,Stopwatch,Alarm"
Timex,Expedition North Field Post,Analog,Automatic,38,Leather,14995,Dress,100,"Automatic Movement,Satin Finish"
Timex,Easy Reader Day-Date,Analog,Quartz,38,Leather,4495,Casual,30,"Indiglo Light,Day-Date Display"
Timex,MK1 Aluminum,Analog,Quartz,40,Aluminum,4995,Military,30,"Indiglo,Lightweight,Field Watch"
Timex,Waterbury Traditional,Analog,Quartz,42,Stainless Steel,7995,Casual,50,"Date Display,Mineral Glass"
Timex,Q Timex GMT,Analog,Quartz,38,Stainless Steel,17995,Vintage,50,"GMT Function,Integrated Bracelet"
Timex,Ironman R300 GPS,Digital,Quartz,41,Resin,12995,Sport,30,"GPS Tracker,Heart Rate Monitor"
Timex,Navi Harbor,Analog,Quartz,41,Fabric,7995,Casual,100,"Rotating Bezel,Indiglo"
Timex,Expedition North Sierra,Analog,Quartz,41,Leather,6995,Sport,100,"Date Display,Stainless Steel Case"
Timex,Waterbury Legacy Automatic,Analog,Automatic,41,Stainless Steel,17995,Dress,50,"Automatic Movement,Exhibition Caseback"
Timex,Standard Chronograph,Chronograph,Quartz,41,Leather,6995,Casual,30,"Chronograph,Indiglo"
Timex,Ironman T300,Digital,Quartz,45,Resin,6995,Sport,100,"30 Lap Memory,Indiglo"
Timex,Waterbury Ocean,Analog,Quartz,42,Recycled Plastic,6495,Casual,30,"Eco-Friendly,Luminous Hands"
Timex,Legacy Day-Date,Analog,Quartz,41,Stainless Steel,7995,Dress,50,"Day-Date Display,Stainless Steel"
Timex,Expedition Ranger Solar,Analog,Solar,43,Leather,8995,Sport,50,"Solar Powered,Indiglo"
Timex,Easy Reader Expansion,Analog,Quartz,35,Expansion Band,3995,Casual,30,"Indiglo Light,Easy-to-Read"
Timex,American Documents,Analog,Quartz,41,Leather,22995,Luxury,30,"American Assembled,Sapphire Crystal"
Timex,Harborside Coast,Analog,Quartz,43,Stainless Steel,7995,Casual,50,"Rotating Bezel,Date Display"
Timex,Metropolitan S,Analog,Quartz,42,Stainless Steel,9995,Smartwatch,30,"Activity Tracking,Notifications"
Timex,Expedition North Trailliner,Analog,Quartz,41,Fabric,8995,Sport,100,"Date Display,Field Watch"
Timex,T80 Pac-Man,Digital,Quartz,34,Stainless Steel,6995,Retro,30,"Pac-Man Graphics,Indiglo"
Timex,Waterbury Traditional GMT,Analog,Quartz,40,Leather,9995,Dress,50,"GMT Function,Date"
Timex,Allied Three GMT,Analog,Quartz,43,Stainless Steel,10995,Casual,100,"GMT Function,Rotating Bezel"
Timex,Expedition Field Chronograph,Chronograph,Quartz,43,Leather,6995,Sport,100,"Chronograph,Date"
Timex,T80,Digital,Quartz,34,Stainless Steel,4995,Retro,30,"Stopwatch,Alarm,Indiglo"
Timex,Expedition Scout 40,Analog,Quartz,40,Leather,5495,Sport,50,"Indiglo,Military Time"
Timex,Q Timex Falcon Eye,Analog,Quartz,38,Stainless Steel,16995,Vintage,50,"Domed Acrylic Crystal,Day-Date"
Timex,Waterbury Classic Chronograph,Chronograph,Quartz,40,Leather,7995,Casual,50,"Chronograph,Date Display"
Timex,Expedition North Sierra Solar,Analog,Solar,41,Stainless Steel,8995,Sport,100,"Solar Powered,Indiglo"
Timex,Legacy Day & Date,Analog,Quartz,41,Stainless Steel,8995,Dress,50,"Day-Date Display,Luminous Hands"
Timex,Waterbury Legacy 41mm,Analog,Quartz,41,Stainless Steel,7995,Casual,50,"Date Display,Stainless Steel"
Timex,Easy Reader Leather Strap,Analog,Quartz,38,Leather,3995,Casual,30,"Indiglo Light,Easy-to-Read"
Timex,Waterbury Traditional 3 Hand,Analog,Quartz,40,Leather,5495,Casual,50,"Date Display,Classic Design"
Timex,Ironman Classic 30,Digital,Quartz,38,Resin,5495,Sport,100,"30 Lap Memory,Indiglo"
Seiko,Prospex Samurai,Analog,Automatic,43.8,Metal,28000,Sport,200,"Diver's Watch,Luminous Hands,Unidirectional Bezel"
Seiko,Seiko 5 SNK809,Analog,Automatic,37,Fabric,9000,Military,30,"Day-Date,Luminous Hands"
Seiko,Prospex Sumo,Analog,Automatic,45,Metal,45000,Sport,200,"Diver's Watch,Luminous Hands,Screw-down Crown"
Seiko,Presage Sharp Edged,Analog,Automatic,39.3,Metal,65000,Dress,100,"Sapphire Crystal,Power Reserve Indicator"
Seiko,Prospex Alpinist,Analog,Automatic,39.5,Leather,52000,Field,200,"Compass Bezel,Sapphire Crystal,Luminous"
Seiko,5 Sports SRPD65K1,Analog,Automatic,42.5,Metal,19000,Sport,100,"Luminous,Day-Date,Hardlex Crystal"
Seiko,Presage Cocktail Time 'Negroni',Analog,Automatic,40.5,Leather,23500,Dress,50,"Box-shaped Hardlex,Date Display"
Seiko,Prospex Monster,Analog,Automatic,42.4,Metal,32000,Sport,200,"Diver's Watch,Magnified Day-Date,Luminous"
Seiko,Coutura Solar,Analog,Solar,44,Metal,25000,Dress,100,"Solar Powered,Sapphire Crystal,Date"
Seiko,Prospex King Turtle,Analog,Automatic,45,Metal,35000,Sport,200,"Diver's Watch,Sapphire Crystal,Ceramic Bezel"
Seiko,Astron GPS Solar,Analog,Solar,42.9,Metal,100000,Luxury,100,"GPS Controlled Time,Perpetual Calendar"
Seiko,Presage Cocktail Time 'Mojito',Analog,Automatic,40.5,Leather,24000,Dress,50,"Box-shaped Hardlex,Date Display,Green Dial"
Seiko,5 Sports SBSA005,Analog,Automatic,42.5,Metal,20000,Sport,100,"Luminous,Day-Date,Stainless Steel"
Seiko,Prospex Tuna,Analog,Automatic,49.4,Resin,55000,Sport,200,"Diver's Watch,Protective Outer Shroud"
Seiko,SSC813 Prospex Speedtimer,Chronograph,Solar,39,Metal,50000,Sport,100,"Solar Powered,Chronograph"
Seiko,Presage Style 60s,Analog,Automatic,40.8,Leather,28000,Vintage,50,"Domed Hardlex Crystal,Luminous"
Seiko,5 Sports GMT,Analog,Automatic,42.5,Metal,38000,Sport,100,"GMT Hand,Day-Date,Rotating Bezel"
Seiko,Lukia,Analog,Quartz,34.5,Metal,28000,Dress,100,"Sapphire Crystal,Swarovski Elements"
Seiko,Prospex MarineMaster,Analog,Automatic,44.3,Metal,120000,Sport,300,"Monocoque Case,Diver's Watch"
Seiko,Presage Cocktail Time 'Old Clock',Analog,Automatic,40.5,Leather,23000,Dress,50,"Date Display,Box-shaped Hardlex"
Seiko,5 Sports Field,Analog,Automatic,39.4,Fabric,16000,Military,100,"Field Watch,Day-Date,Luminous"
Seiko,Prospex PADI Diver,Analog,Automatic,45,Metal,32000,Sport,200,"Diver's Watch,PADI Special Edition"
Seiko,Presage Zen Garden,Analog,Automatic,41.7,Metal,35000,Dress,30,"Zen Garden Dial,Sapphire Crystal"
Seiko,Premier Kinetic,Analog,Kinetic,42.5,Metal,48000,Dress,100,"Kinetic Movement,Sapphire Crystal"
Seiko,5 Sports Street Fighter,Analog,Automatic,42.5,Metal,22000,Sport,100,"Street Fighter Collaboration"
Seiko,Prospex King Samurai,Analog,Automatic,43.8,Metal,30000,Sport,200,"Sapphire Crystal,Ceramic Bezel,Diver's Watch"
Seiko,Presage 'Irish Coffee',Analog,Automatic,40.5,Leather,22500,Dress,50,"Box-shaped Hardlex,Date Display"
Seiko,5 Sports GMT 'Blueberry',Analog,Automatic,42.5,Metal,40000,Sport,100,"GMT Hand,Day-Date,Blue Bezel"
Seiko,Prospex Solar Diver,Analog,Solar,43.5,Resin,25000,Sport,200,"Solar Powered,Diver's Watch"
Seiko,Presage 'Hojicha',Analog,Automatic,33.8,Leather,28000,Dress,50,"Automatic,Japanese Garden"
Seiko,5 Sports 'Kx' SKX007,Analog,Automatic,42.5,Metal,21000,Sport,100,"Day-Date,Uni-directional Bezel"
Seiko,Prospex 'Arnie',Analog-Digital,Solar,47.8,Silicone,35000,Sport,200,"Solar Powered,Digital Display"
Seiko,Premier Chronograph,Chronograph,Quartz,42,Metal,29000,Dress,100,"Chronograph,Sapphire Crystal"
Seiko,5 Sports 'Sliver',Analog,Automatic,42.5,Metal,20500,Sport,100,"Day-Date,Luminous"
Seiko,Presage 'Shiro-taka',Analog,Automatic,40.5,Leather,26000,Dress,50,"Date Display,Hardlex Crystal"
Seiko,Prospex 'Willard',Analog,Automatic,42.7,Metal,90000,Sport,200,"Diver's Watch,Hi-beat Movement"
Seiko,5 Sports 'Rally Diver',Analog,Automatic,42.5,Metal,23000,Sport,100,"Rotating Bezel,Day-Date"
Seiko,Presage 'Arita Porcelain',Analog,Automatic,40.6,Leather,100000,Luxury,100,"Arita Porcelain Dial,Power Reserve"
Seiko,Prospex Solar Chrono,Chronograph,Solar,42,Metal,26000,Sport,100,"Solar Powered,Chronograph"
Seiko,5 Sports 'Yuto Horigome',Analog,Automatic,42.5,Nylon,25000,Sport,100,"Skateboarder Collaboration"
Seiko,Presage 'Urushi Byakudan-nuri',Analog,Automatic,40.5,Leather,150000,Luxury,100,"Urushi Lacquer Dial,Date"
Seiko,Prospex SNE583,Analog,Solar,38.5,Metal,32000,Sport,200,"Solar Powered,Diver's Watch"
Seiko,5 Sports 'Racer',Analog,Automatic,42.5,Metal,21500,Sport,100,"Day-Date,Luminous Hands"
Seiko,Presage 'White Gilt',Analog,Automatic,40.5,Leather,24500,Dress,50,"Box-shaped Hardlex,Date Display"
Seiko,Prospex 'Street Series',Digital,Solar,46.7,Resin,28000,Sport,200,"Solar Powered,Shock Resistant"
Seiko,Presage 'Starlight',Analog,Automatic,40.5,Leather,29000,Dress,50,"Starry Dial,Date Display"
Seiko,Prospex 'Monster' SRPD27K1,Analog,Automatic,42.4,Metal,32000,Sport,200,"Diver's Watch,Day-Date"
Citizen,Eco-Drive Nighthawk,Analog,Solar,42,Stainless Steel,22000,Pilot,200,"Slide Rule Bezel,Dual Time,Glow Hands"
Citizen,Promaster Diver,Analog,Solar,44,Rubber,25000,Diver,200,"Eco-Drive,One-Way Rotating Bezel,Luminous"
Citizen,Tsuyosa,Analog,Automatic,40,Stainless Steel,35000,Casual,50,"Integrated Bracelet,Automatic Movement,Date Display"
Citizen,Promaster Altichron,Analog,Solar,46,Polyurethane,45000,Sport,200,"Altimeter,Compass,Eco-Drive"
Citizen,Series 8,Analog,Automatic,40.8,Stainless Steel,60000,Dress,100,"Automatic Movement,Sapphire Crystal,Anti-Magnetic"
Citizen,Eco-Drive Axiom,Analog,Solar,40,Stainless Steel,15000,Minimalist,30,"Eco-Drive,Minimalist Dial,Date Display"
Citizen,Promaster Skyhawk A-T,Analog-Digital,Radio Controlled,46,Stainless Steel,38000,Pilot,200,"Atomic Timekeeping,World Time,Perpetual Calendar"
Citizen,Eco-Drive Garrison,Analog,Solar,42,Fabric,12500,Sport,100,"Eco-Drive,Luminous,Military Time"
Citizen,Promaster Dive Automatic,Analog,Automatic,44,Stainless Steel,30000,Diver,200,"Automatic Movement,Unidirectional Bezel"
Citizen,Eco-Drive Chronograph,Chronograph,Solar,43,Stainless Steel,20000,Casual,100,"Eco-Drive,Chronograph,Date"
Citizen,Eco-Drive Titanium,Analog,Solar,42,Titanium,28000,Sport,100,"Titanium Case,Eco-Drive,Date Display"
Citizen,Super Titanium Armor,Analog,Automatic,41,Titanium,45000,Sport,100,"Super Titanium,Sapphire Crystal,Automatic"
Citizen,L Ladies Eco-Drive,Analog,Solar,34,Stainless Steel,22000,Dress,50,"Swarovski Crystal,Eco-Drive"
Citizen,Promaster Aqualand,Digital,Quartz,52,Resin,35000,Diver,200,"Depth Sensor,Eco-Drive"
Citizen,Eco-Drive Classic,Analog,Solar,40,Leather,10500,Dress,30,"Eco-Drive,Date Display"
Citizen,Promaster Fugu,Analog,Automatic,44,Stainless Steel,29000,Diver,200,"Automatic Movement,Hacking Function,Iconic Case"
Citizen,Stiletto Super Thin,Analog,Solar,39,Titanium,27000,Dress,30,"Eco-Drive,Super Thin Case"
Citizen,Series 8 Chronograph,Chronograph,Automatic,42.5,Stainless Steel,80000,Sport,100,"Automatic,Chronograph,Sapphire Crystal"
Citizen,Eco-Drive World Time,Analog,Solar,42,Stainless Steel,18000,Dress,100,"World Time,Eco-Drive"
Citizen,Eco-Drive Corso,Analog,Solar,41,Stainless Steel,15000,Casual,100,"Eco-Drive,Date Display"
Citizen,Promaster Dive GMT,Analog,Automatic,44,Stainless Steel,32000,Diver,200,"Automatic Movement,GMT,Diver"
Citizen,Eco-Drive Chrono Tachymeter,Chronograph,Solar,44,Stainless Steel,19000,Sport,100,"Tachymeter,Eco-Drive"
Citizen,Eco-Drive Chandler Field Watch,Analog,Solar,42,Canvas,11500,Sport,100,"Date Display,Glow Hands"
Citizen,Promaster Land,Analog,Solar,43,Leather,24000,Field,200,"Compass,Eco-Drive"
Citizen,Eco-Drive Axiom Two-Tone,Analog,Solar,40,Stainless Steel,16000,Minimalist,30,"Two-Tone Finish,Eco-Drive"
Citizen,Promaster Diver 200M,Analog,Solar,42,Resin,20000,Diver,200,"Eco-Drive,Unidirectional Bezel"
Citizen,Eco-Drive Satellite Wave GPS,Analog,Solar,44.3,Titanium,75000,Luxury,100,"GPS,Satellite Time Sync,Titanium"
Citizen,Eco-Drive Stiletto,Analog,Solar,39,Stainless Steel,25000,Dress,30,"Ultra Thin,Eco-Drive"
Citizen,Promaster Diver Marine,Analog,Automatic,44,Stainless Steel,31000,Diver,200,"Automatic Movement,Diver"
Citizen,Eco-Drive Power Reserve,Analog,Solar,42,Leather,17000,Dress,50,"Eco-Drive,Power Reserve Indicator"
Citizen,Eco-Drive Pilot,Chronograph,Solar,45,Stainless Steel,21000,Pilot,100,"Eco-Drive,Chronograph"
Citizen,Promaster Nighthawk PVD,Analog,Solar,42,Stainless Steel,23000,Pilot,200,"Slide Rule Bezel,Black PVD Finish"
Citizen,Eco-Drive Stiletto Bangle,Analog,Solar,30,Stainless Steel,26000,Dress,30,"Bangle Bracelet,Ultra Thin"
Citizen,Promaster Dive Fugu,Analog,Automatic,44,Stainless Steel,30000,Diver,200,"Automatic Movement,Fugu Case"
Citizen,Eco-Drive Date,Analog,Solar,41,Leather,12000,Casual,30,"Date Display,Eco-Drive"
Citizen,Promaster Diver NY0040,Analog,Automatic,42,Stainless Steel,28000,Diver,200,"Automatic Movement,Diver"
Citizen,Eco-Drive Weekender,Analog,Solar,40,Fabric,11000,Casual,30,"Date Display,Eco-Drive"
Citizen,Promaster Diver Titanium,Analog,Solar,43.5,Titanium,35000,Diver,200,"Titanium Case,Eco-Drive"
Citizen,Eco-Drive Military,Analog,Solar,42,Nylon,13000,Sport,100,"Military Time,Eco-Drive"
Citizen,Promaster Dive BN0151,Analog,Solar,44,Resin,26000,Diver,200,"Eco-Drive,Unidirectional Bezel"
Citizen,Eco-Drive Dress,Analog,Solar,40,Stainless Steel,14000,Dress,50,"Eco-Drive,Sapphire Glass"
Citizen,Promaster Diver Titanium Automatic,Analog,Automatic,42,Titanium,38000,Diver,200,"Automatic,Titanium"
Citizen,Eco-Drive Blue Dial,Analog,Solar,41,Stainless Steel,16000,Casual,100,"Blue Dial,Date Display"
Citizen,Promaster Land Field,Analog,Solar,42,Leather,23000,Field,200,"Compass,Eco-Drive"
Citizen,Eco-Drive World Timer,Analog,Solar,43,Stainless Steel,19000,Dress,100,"World Time,Eco-Drive"
Citizen,Promaster Diver BN0190,Analog,Solar,45,Stainless Steel,27000,Diver,200,"Eco-Drive,Unidirectional Bezel"
Citizen,Eco-Drive Bracelet,Analog,Solar,39,Stainless Steel,17000,Dress,50,"Eco-Drive,Stainless Steel Bracelet"
Citizen,Promaster Diver Marine Automatic,Analog,Automatic,44,Stainless Steel,31000,Diver,200,"Automatic Movement,Diver"
Citizen,Eco-Drive Chronograph,Chronograph,Solar,43,Stainless Steel,20000,Casual,100,"Eco-Drive,Chronograph,Date"
Tissot,Gentleman Powermatic 80,Analog,Automatic,40,Metal,52000,Dress,100,"Silicon Balance Spring,Date Display"
Tissot,Le Locle Powermatic 80,Analog,Automatic,39.3,Stainless Steel,45000,Dress,30,"Powermatic 80 Movement,Transparent Caseback"
Tissot,Seastar 1000,Analog,Automatic,43,Stainless Steel,42000,Diver,300,"Diver's Watch,Ceramic Bezel,Automatic"
Tissot,Supersport Chrono,Chronograph,Quartz,45.5,Stainless Steel,22000,Sport,100,"Chronograph,Tachymeter,Date Display"
Tissot,PRC 200 Chronograph,Chronograph,Quartz,42,Stainless Steel,30000,Casual,200,"Chronograph,Tachymeter,Screw-down Crown"
